正義盟軍	A・O・J
次世代	ジェネクス
真.次世代	レアル·ジェネクス
盟軍.次世代	A・ジェネクス
亞馬遜	アマゾネス
大秘儀之力	アルカナフォース
暗黑界	暗黒界
古代的機械	アンティーク・ギア
HERO	HERO
E.HERO	E・HERO
V.HERO	V・HERO
E-HERO	E-HERO
M.HERO	M・HERO
D-HERO	D-HERO
新生人	ネオス
入魔	ヴェルズ
侵入魔人	インヴェルズ
無限地獄	インフェルニティ
外星人	エーリアン
劍士	セイバー
X劍士	X－セイバー
XX劍士	XX－セイバー
電氣	エレキ
搗蛋	おジャマ
薰風	ガスタ
機巧	カラクリ
青蛙	ガエル
機皇	機皇
機皇帝	機皇帝
機皇兵	機皇兵
巨大戰艦	巨大戦艦
機人	ロイド
交通機人	ビークロイド
高速機人	スピードロイド
同步	シンクロ
同步者	シンクロン
同步龍	シンクロ・ドラゴン
雲魔物	雲魔物
劍鬥獸	剣闘獣
黑蠍	黒蠍
幻獸	幻獣
幻獸機	幻獣機
核成	コアキメイル
C.	C（コクーン）
N.	N（ネオスペーシアン）
紫炎	紫炎
地縛神	地縛神
侏儸紀	ジュラック
Sin	Sin
廢鐵	スクラップ
鎖鏈	C（チェーン）
變形鬥士	D（ディフォーマー）
科技屬	TG（テックジーナス）
電池人	電池メン
龍盟	ドラグニティ
自然	ナチュル
忍者
炎獄	フレムベル
守墓	墓守
冰結界	氷結界
大日	ヴァイロン
命運女郎	フォーチュンレディ
火山	ヴォルカニック
黑羽	BF（ブラックフェザー）
強襲黑羽	A BF（アサルト ブラックフェザー）
寶玉	寶玉
寶玉獸	寶玉獣
究極寶玉神	究極寶玉神
魔轟神	魔轟神
機甲	マシンナーズ
霞之谷	霞の谷
光之領主	ライトロード
熔岩	ラヴァル
咒法	リチュア
真紅眼	レッドアイズ
蛇妖	レプティレス
六武眾	六武衆
蠕蟲	ワーム
救世	セイヴァー
被封印	封印されし
LV	LV（レベル）
極星	極星
極星天	極星天
極星獸	極星獣
極星靈	極星霊
極星寶	極星寶
垃圾	ジャンク
代行者
惡魔	デーモン
紅惡魔	レッド・デーモン
融合	融合/フュージョン
融合龍	フュージョン・ドラゴン
寶石	ジェム
寶石騎士	ジェムナイト
No.	No.
CNo.	CNo.
槍士	銃士
時械神	時械神
極神	極神
落穴	落とし穴
進化	エヴォル
進化蟲	エヴォルド
進化龍	エヴォルダ
進化帝	エヴォルカイザー
爆裂	バスター
/爆裂型態	／バスター
毒液	ヴェノム
飢餓毒|毒液	スターヴ・ヴェノム
齒輪	ガジェット
守護者	ガーディアン
星聖	セイクリッド
我我我	ガガガ
光子	フォトン
甲蟲裝機	甲蟲裝機
共鳴體	リゾネーター
發條	ゼンマイ
隆隆隆	ゴゴゴ
企鵝	ペンギン
小蕃茄	トマボー
斯芬克斯	スフィンクス
竹光
忍法
卡通	トゥーン
反應戰機	リアクター
神鷹	ハーピィ
侵略的	侵略の
戰士	ウォリアー
音響戰士	音響戦士
磁石戰士	マグネット・ウォリアー
鋼鐵	アイアン
鐵皮	ブリキ
聖刻	聖刻
幻蝶刺客	幻蝶の刺客
